,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,puzzle,astar_f_close_list,wstar100_f_close_list,wstar10_f_close_list,wstar5_f_close_list,wstar2_5_f_close_list,wstar3_f_close_list,wstar2_f_close_list,wstar1_5_f_close_list,wstar1_1_f_close_list,y_star3_f_close_list,maor_f_close_list,maor2_f_close_list,astar_f_len,wstar100_f_len,wstar10_f_len,wstar5_f_len,wstar2_5_f_len,wstar3_f_len,wstar2_f_len,wstar1_5_f_len,wstar1_1_f_len,y_star3_f_len,maor_f_len,maor2_f_len
6441,6441,6441.0,6441.0,,"(6, 3, 1, 8, 7, 5, 2, 4, '_')",18848.0,699.0,1099.0,865.0,2606.0,2216.0,3906.0,3482.0,7779.0,8713.0,18579.0,10185.0,28.0,56.0,34.0,34.0,36.0,36.0,28.0,28.0,28.0,28.0,28.0,28.0
6442,6442,6442.0,6442.0,,"(7, 6, 8, 4, 2, 5, 1, 3, '_')",2657.0,379.0,944.0,273.0,1416.0,1542.0,1464.0,1509.0,1480.0,2501.0,2095.0,1644.0,24.0,52.0,62.0,36.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
6443,6443,6443.0,6443.0,,"(4, 1, 3, 6, 5, 7, 2, 8, '_')",465.0,186.0,186.0,201.0,243.0,699.0,622.0,458.0,420.0,344.0,425.0,424.0,18.0,28.0,28.0,28.0,24.0,26.0,24.0,18.0,18.0,18.0,18.0,18.0
6444,6444,6444.0,6444.0,,"(4, 7, 8, 5, 3, 6, 1, 2, '_')",7726.0,412.0,357.0,670.0,346.0,338.0,2199.0,3888.0,4119.0,4695.0,7322.0,7199.0,26.0,44.0,38.0,38.0,30.0,30.0,30.0,26.0,26.0,26.0,26.0,26.0
6445,6445,6445.0,6445.0,,"(1, 4, 8, 3, 7, 5, 2, 6, '_')",3445.0,586.0,640.0,1930.0,2905.0,2223.0,2473.0,1833.0,1976.0,2473.0,2887.0,1779.0,24.0,56.0,56.0,42.0,30.0,28.0,24.0,24.0,24.0,24.0,24.0,24.0
6446,6446,6446.0,6446.0,,"(1, 6, 8, 3, 4, 5, 2, 7, '_')",689.0,849.0,413.0,346.0,318.0,373.0,582.0,492.0,427.0,324.0,433.0,363.0,20.0,76.0,38.0,32.0,22.0,22.0,22.0,20.0,20.0,20.0,20.0,20.0
6447,6447,6447.0,6447.0,,"(1, 5, 7, 4, 8, 6, 2, 3, '_')",9486.0,1074.0,415.0,358.0,352.0,377.0,601.0,1707.0,4033.0,5706.0,9311.0,4681.0,26.0,76.0,44.0,30.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
6448,6448,6448.0,6448.0,,"(1, 2, 8, 4, 6, 5, 7, 3, '_')",187.0,231.0,248.0,128.0,125.0,125.0,105.0,99.0,99.0,94.0,99.0,99.0,14.0,34.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
6449,6449,6449.0,6449.0,,"(1, 8, 2, 7, 3, 6, 4, 5, '_')",765.0,219.0,227.0,344.0,569.0,573.0,563.0,490.0,490.0,599.0,490.0,554.0,18.0,26.0,26.0,26.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
6450,6450,6450.0,6450.0,,"(2, 3, 7, 8, 5, 1, 4, 6, '_')",4426.0,392.0,311.0,746.0,1043.0,1232.0,661.0,1309.0,1740.0,1699.0,3813.0,2794.0,24.0,30.0,30.0,30.0,28.0,28.0,24.0,24.0,24.0,24.0,24.0,24.0
6451,6451,6451.0,6451.0,,"(2, 6, 1, 3, 8, 7, 4, 5, '_')",4796.0,664.0,292.0,195.0,570.0,499.0,1168.0,1164.0,2015.0,2928.0,4428.0,3753.0,24.0,48.0,30.0,30.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
6452,6452,6452.0,6452.0,,"(5, 7, 2, 1, 8, 6, 4, 3, '_')",2558.0,783.0,599.0,412.0,566.0,577.0,473.0,586.0,1133.0,1205.0,2195.0,1894.0,22.0,40.0,34.0,28.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
6453,6453,6453.0,6453.0,,"(5, 4, 3, 1, 2, 8, 7, 6, '_')",3760.0,154.0,153.0,177.0,486.0,260.0,957.0,1485.0,1812.0,1846.0,3429.0,1778.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
6454,6454,6454.0,6454.0,,"(2, 8, 1, 6, 4, 3, 7, 5, '_')",5076.0,621.0,818.0,865.0,1344.0,1489.0,1730.0,2142.0,2430.0,2222.0,4626.0,2378.0,24.0,44.0,36.0,34.0,28.0,30.0,24.0,24.0,24.0,24.0,24.0,24.0
6455,6455,6455.0,6455.0,,"(4, 6, 7, 8, 2, 3, 5, 1, '_')",3117.0,677.0,664.0,723.0,1385.0,2521.0,936.0,1246.0,1457.0,1187.0,2308.0,1456.0,24.0,52.0,44.0,42.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
6456,6456,6456.0,6456.0,,"(4, 5, 1, 3, 6, 2, 7, 8, '_')",504.0,734.0,795.0,158.0,120.0,120.0,218.0,334.0,304.0,227.0,303.0,341.0,18.0,44.0,46.0,20.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,18.0
6457,6457,6457.0,6457.0,,"(1, 8, 3, 4, 7, 6, 5, 2, '_')",3097.0,723.0,168.0,152.0,298.0,266.0,546.0,1208.0,1509.0,2205.0,2751.0,2050.0,22.0,40.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
6458,6458,6458.0,6458.0,,"(4, 1, 7, 3, 2, 8, 5, 6, '_')",1312.0,331.0,331.0,269.0,1327.0,1022.0,1614.0,718.0,678.0,808.0,852.0,775.0,22.0,46.0,46.0,32.0,30.0,30.0,28.0,22.0,22.0,22.0,22.0,22.0
6459,6459,6459.0,6459.0,,"(1, 4, 6, 8, 2, 7, 5, 3, '_')",5270.0,707.0,469.0,1053.0,371.0,495.0,513.0,1404.0,2373.0,2750.0,4983.0,2571.0,24.0,52.0,42.0,36.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
6460,6460,6460.0,6460.0,,"(1, 4, 6, 7, 3, 8, 5, 2, '_')",609.0,727.0,979.0,1027.0,245.0,298.0,156.0,158.0,289.0,326.0,382.0,323.0,18.0,34.0,34.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
6461,6461,6461.0,6461.0,,"(2, 6, 1, 7, 5, 4, 8, 3, '_')",2347.0,822.0,893.0,553.0,2385.0,1751.0,3219.0,2278.0,1919.0,1773.0,1918.0,2075.0,22.0,48.0,50.0,28.0,28.0,28.0,26.0,22.0,22.0,22.0,22.0,22.0
6462,6462,6462.0,6462.0,,"(6, 1, 3, 5, 4, 7, 2, 8, '_')",2123.0,612.0,629.0,373.0,283.0,308.0,610.0,798.0,874.0,1319.0,1355.0,1237.0,22.0,42.0,42.0,32.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
6463,6463,6463.0,6463.0,,"(7, 1, 8, 2, 5, 6, 4, 3, '_')",4359.0,345.0,344.0,379.0,2692.0,2886.0,1941.0,1727.0,1967.0,2448.0,3914.0,2479.0,24.0,36.0,36.0,36.0,32.0,32.0,24.0,24.0,24.0,24.0,24.0,24.0
